Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,XLF,2,0,0,0,0,2,1,35.11
2022-05-03 15:30:00-04:00,XLF,2,0,0,0,0,2,1,34.98
2022-05-04 09:30:00-04:00,XLF,2,0,-1,1,-1,1,-1,35.16
2022-05-04 10:30:00-04:00,XLF,2,0,-1,1,-1,1,0,35.07
2022-05-04 11:30:00-04:00,XLF,2,0,-1,1,-1,1,0,35.21
2022-05-04 12:30:00-04:00,XLF,2,0,-1,1,1,3,1,35.15
2022-05-04 13:30:00-04:00,XLF,2,0,-1,1,0,2,-1,35.23
2022-05-04 14:30:00-04:00,XLF,2,0,-1,-1,0,0,-1,35.88
2022-05-04 15:30:00-04:00,XLF,2,0,-1,0,0,1,1,36.04
2022-05-05 09:30:00-04:00,XLF,-2,0,-1,0,1,-2,-1,35.19
2022-05-05 10:30:00-04:00,XLF,-2,0,-1,-1,1,-3,-1,34.86
2022-05-05 11:30:00-04:00,XLF,-2,0,-1,1,1,-1,-1,34.82
2022-05-05 12:30:00-04:00,XLF,-2,0,-1,0,1,-2,-1,35.03
2022-05-05 13:30:00-04:00,XLF,-2,0,1,0,1,0,1,34.85
2022-05-05 14:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.71
2022-05-05 15:30:00-04:00,XLF,-2,0,1,0,1,0,0,35.02
2022-05-06 09:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.45
2022-05-06 10:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.73
2022-05-06 11:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.63
2022-05-06 12:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.72
2022-05-06 13:30:00-04:00,XLF,-2,0,1,0,1,0,0,34.46
2022-05-06 14:30:00-04:00,XLF,-2,0,1,1,1,1,0,34.52
2022-05-06 15:30:00-04:00,XLF,-2,0,1,1,-1,-1,0,34.77
2022-05-09 09:30:00-04:00,XLF,-2,0,1,1,0,0,0,34.13
2022-05-09 10:30:00-04:00,XLF,-2,0,1,1,0,0,0,33.92
2022-05-09 11:30:00-04:00,XLF,-2,0,1,1,0,0,0,34.24
2022-05-09 12:30:00-04:00,XLF,-2,0,1,1,1,1,0,34.12
2022-05-09 13:30:00-04:00,XLF,-2,0,1,1,1,1,0,34.1
2022-05-09 14:30:00-04:00,XLF,-2,0,1,1,1,1,0,34.03
2022-05-09 15:30:00-04:00,XLF,-2,0,1,1,1,1,0,33.91
2022-05-10 09:30:00-04:00,XLF,-2,0,1,1,1,1,0,33.94
2022-05-10 10:30:00-04:00,XLF,-2,0,1,-1,1,-1,0,33.56
2022-05-10 11:30:00-04:00,XLF,-2,0,-1,-1,1,-3,-1,33.38
2022-05-10 12:30:00-04:00,XLF,-2,0,0,-1,1,-2,-1,33.49
2022-05-10 13:30:00-04:00,XLF,-2,0,1,-1,1,-1,1,33.67
2022-05-10 14:30:00-04:00,XLF,-2,0,1,-1,1,-1,0,33.54
2022-05-10 15:30:00-04:00,XLF,-2,0,1,-1,1,-1,0,33.62
2022-05-11 09:30:00-04:00,XLF,2,0,1,1,1,5,1,34.14
2022-05-11 10:30:00-04:00,XLF,2,0,1,0,1,4,1,34.08
2022-05-11 11:30:00-04:00,XLF,-2,1,1,0,1,1,-1,33.87
2022-05-11 12:30:00-04:00,XLF,-2,-1,1,0,1,-1,0,33.54
2022-05-11 13:30:00-04:00,XLF,-2,-1,1,0,1,-1,0,33.64
2022-05-11 14:30:00-04:00,XLF,-2,-1,1,0,1,-1,0,33.53
2022-05-11 15:30:00-04:00,XLF,-2,-1,1,0,1,-1,0,33.29
2022-05-12 09:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,33.09
2022-05-12 10:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,33.09
2022-05-12 11:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,32.89
2022-05-12 12:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,32.79
2022-05-12 13:30:00-04:00,XLF,-2,1,1,-1,1,0,1,32.6
2022-05-12 14:30:00-04:00,XLF,-2,1,-1,-1,-1,-4,-1,32.69
2022-05-12 15:30:00-04:00,XLF,2,1,-1,-1,-1,0,1,33.07
2022-05-13 09:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.68
2022-05-13 10:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.65
2022-05-13 11:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.73
2022-05-13 12:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.56
2022-05-13 13:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.29
2022-05-13 14:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.56
2022-05-13 15:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.52
2022-05-16 09:30:00-04:00,XLF,2,1,-1,-1,-1,0,0,33.31
2022-05-16 10:30:00-04:00,XLF,-2,1,-1,-1,-1,-4,-1,33.13
2022-05-16 11:30:00-04:00,XLF,-2,1,-1,1,-1,-2,-1,33.31
2022-05-16 12:30:00-04:00,XLF,2,1,-1,0,-1,1,1,33.46
2022-05-16 13:30:00-04:00,XLF,2,1,-1,1,-1,2,0,33.5
2022-05-16 14:30:00-04:00,XLF,2,1,-1,1,-1,2,0,33.32
2022-05-16 15:30:00-04:00,XLF,2,1,1,1,-1,4,1,33.27
2022-05-17 09:30:00-04:00,XLF,2,1,-1,1,-1,2,-1,33.87
2022-05-17 10:30:00-04:00,XLF,2,1,-1,1,-1,2,0,33.9
2022-05-17 11:30:00-04:00,XLF,2,1,-1,1,-1,2,0,33.95
2022-05-17 12:30:00-04:00,XLF,2,1,1,1,-1,4,1,34.02
2022-05-17 13:30:00-04:00,XLF,2,1,0,1,1,5,1,33.94
2022-05-17 14:30:00-04:00,XLF,2,1,0,1,1,5,1,34.21
2022-05-17 15:30:00-04:00,XLF,2,1,1,1,1,6,1,34.16
2022-05-18 09:30:00-04:00,XLF,2,1,1,1,1,6,1,33.61
2022-05-18 10:30:00-04:00,XLF,-2,1,-1,1,1,0,-1,33.44
2022-05-18 11:30:00-04:00,XLF,-2,1,0,1,1,1,0,33.42
2022-05-18 12:30:00-04:00,XLF,-2,1,-1,1,1,0,0,33.37
2022-05-18 13:30:00-04:00,XLF,-2,1,1,1,1,2,0,33.38
2022-05-18 14:30:00-04:00,XLF,-2,1,1,1,1,2,0,33.08
2022-05-18 15:30:00-04:00,XLF,-2,1,1,1,1,2,0,33.22
2022-05-19 09:30:00-04:00,XLF,-2,1,1,-1,1,0,0,32.95
2022-05-19 10:30:00-04:00,XLF,-2,-1,-1,0,1,-3,-1,32.81
2022-05-19 11:30:00-04:00,XLF,-2,-1,0,0,1,-2,-1,32.98
2022-05-19 12:30:00-04:00,XLF,-2,-1,-1,0,1,-3,-1,32.88
2022-05-19 13:30:00-04:00,XLF,-2,-1,-1,0,1,-3,-1,32.95
2022-05-19 14:30:00-04:00,XLF,-2,-1,-1,0,1,-3,-1,32.92
2022-05-19 15:30:00-04:00,XLF,-2,-1,-1,0,1,-3,-1,32.96
2022-05-20 09:30:00-04:00,XLF,-2,-1,-1,1,1,-2,-1,33.07
2022-05-20 10:30:00-04:00,XLF,-2,-1,-1,1,1,-2,-1,32.74
2022-05-20 11:30:00-04:00,XLF,-2,-1,-1,1,1,-2,-1,32.57
2022-05-20 12:30:00-04:00,XLF,-2,1,1,1,1,2,1,32.24
2022-05-20 13:30:00-04:00,XLF,-2,1,1,1,1,2,0,32.38
2022-05-20 14:30:00-04:00,XLF,-2,1,1,1,1,2,0,32.56
2022-05-20 15:30:00-04:00,XLF,2,1,1,1,1,6,1,32.93
2022-05-23 09:30:00-04:00,XLF,2,1,1,1,1,6,1,33.86
2022-05-23 10:30:00-04:00,XLF,2,-1,-1,1,1,2,-1,34.08
2022-05-23 11:30:00-04:00,XLF,2,-1,0,1,-1,1,0,34.11
2022-05-23 12:30:00-04:00,XLF,2,-1,0,1,-1,1,0,34.03
2022-05-23 13:30:00-04:00,XLF,2,-1,0,1,-1,1,0,34.13
2022-05-23 14:30:00-04:00,XLF,2,-1,0,1,-1,1,0,34.11
2022-05-23 15:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,34.0
2022-05-24 09:30:00-04:00,XLF,-2,1,1,-1,-1,-2,-1,33.44
2022-05-24 10:30:00-04:00,XLF,-2,1,1,-1,-1,-2,-1,33.37
2022-05-24 11:30:00-04:00,XLF,-2,1,-1,-1,-1,-4,-1,33.59
2022-05-24 12:30:00-04:00,XLF,-2,-1,0,-1,-1,-5,-1,33.57
2022-05-24 13:30:00-04:00,XLF,2,-1,0,-1,-1,-1,-1,33.74
2022-05-24 14:30:00-04:00,XLF,2,1,0,-1,-1,1,1,33.87
2022-05-24 15:30:00-04:00,XLF,2,1,1,-1,-1,2,0,33.94
2022-05-25 09:30:00-04:00,XLF,2,1,1,-1,-1,2,0,34.12
2022-05-25 10:30:00-04:00,XLF,2,1,1,-1,-1,2,0,34.07
2022-05-25 11:30:00-04:00,XLF,2,1,1,-1,-1,2,0,33.85
2022-05-25 12:30:00-04:00,XLF,2,1,1,-1,-1,2,0,33.93
2022-05-25 13:30:00-04:00,XLF,2,-1,1,-1,1,2,0,34.13
2022-05-25 14:30:00-04:00,XLF,2,1,1,-1,1,4,1,34.33
2022-05-25 15:30:00-04:00,XLF,2,1,1,-1,-1,2,-1,34.21
2022-05-26 09:30:00-04:00,XLF,2,-1,1,-1,1,2,0,34.89
2022-05-26 10:30:00-04:00,XLF,2,-1,1,-1,1,2,0,34.87
2022-05-26 11:30:00-04:00,XLF,2,-1,1,-1,1,2,0,34.92
2022-05-26 12:30:00-04:00,XLF,2,-1,1,-1,1,2,0,34.96
2022-05-26 13:30:00-04:00,XLF,2,-1,1,-1,1,2,0,35.0
2022-05-26 14:30:00-04:00,XLF,2,-1,1,1,1,4,1,34.96
2022-05-26 15:30:00-04:00,XLF,2,-1,1,0,1,3,-1,34.97
2022-05-27 09:30:00-04:00,XLF,2,-1,1,1,1,4,1,35.26
2022-05-27 10:30:00-04:00,XLF,2,-1,1,1,1,4,1,35.22
2022-05-27 11:30:00-04:00,XLF,2,-1,1,1,1,4,1,35.26
2022-05-27 12:30:00-04:00,XLF,2,-1,1,1,1,4,1,35.22
2022-05-27 13:30:00-04:00,XLF,2,-1,1,-1,1,2,-1,35.31
2022-05-27 14:30:00-04:00,XLF,2,-1,1,0,1,3,0,35.5
2022-05-27 15:30:00-04:00,XLF,2,-1,1,0,1,3,0,35.59
2022-05-31 09:30:00-04:00,XLF,2,-1,-1,-1,1,0,0,35.38
2022-05-31 10:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,0,35.35
2022-05-31 11:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.53
2022-05-31 12:30:00-04:00,XLF,2,-1,-1,0,-1,-1,0,35.51
2022-05-31 13:30:00-04:00,XLF,2,-1,1,1,-1,2,0,35.65
2022-05-31 14:30:00-04:00,XLF,2,-1,0,1,-1,1,0,35.62
2022-05-31 15:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.49
2022-06-01 09:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,34.9
2022-06-01 10:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,34.72
2022-06-01 11:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,34.7
2022-06-01 12:30:00-04:00,XLF,-2,-1,1,1,-1,-2,1,34.93
2022-06-01 13:30:00-04:00,XLF,2,-1,1,0,-1,1,0,35.08
2022-06-01 14:30:00-04:00,XLF,2,-1,1,0,-1,1,0,35.07
2022-06-01 15:30:00-04:00,XLF,-2,1,1,0,-1,-1,0,34.88
2022-06-02 09:30:00-04:00,XLF,-2,-1,1,0,-1,-3,0,34.77
2022-06-02 10:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,35.04
2022-06-02 11:30:00-04:00,XLF,2,-1,1,-1,-1,0,1,35.17
2022-06-02 12:30:00-04:00,XLF,2,-1,1,1,-1,2,0,35.19
2022-06-02 13:30:00-04:00,XLF,2,-1,1,0,-1,1,0,35.21
2022-06-02 14:30:00-04:00,XLF,2,-1,1,0,-1,1,0,35.24
2022-06-02 15:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.39
2022-06-03 09:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,34.98
2022-06-03 10:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,34.92
2022-06-03 11:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,34.96
2022-06-03 12:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,35.03
2022-06-03 13:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,35.01
2022-06-03 14:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,34.92
2022-06-03 15:30:00-04:00,XLF,-2,-1,0,1,-1,-3,-1,34.86
2022-06-06 09:30:00-04:00,XLF,2,-1,-1,1,-1,0,1,35.45
2022-06-06 10:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.17
2022-06-06 11:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.04
2022-06-06 12:30:00-04:00,XLF,2,-1,-1,1,-1,0,0,35.08
2022-06-06 13:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,35.04
2022-06-06 14:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,35.03
2022-06-06 15:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,34.98
2022-06-07 09:30:00-04:00,XLF,-2,-1,1,1,-1,-2,-1,34.9
2022-06-07 10:30:00-04:00,XLF,-2,-1,0,1,1,-1,1,34.97
2022-06-07 11:30:00-04:00,XLF,-2,-1,0,-1,0,-4,-1,34.94
2022-06-07 12:30:00-04:00,XLF,-2,-1,0,1,1,-1,1,35.1
2022-06-07 13:30:00-04:00,XLF,2,-1,0,1,1,3,1,35.14
2022-06-07 14:30:00-04:00,XLF,2,-1,0,1,1,3,1,35.15
2022-06-07 15:30:00-04:00,XLF,2,1,1,-1,1,4,1,35.23
2022-06-08 09:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,34.89
2022-06-08 10:30:00-04:00,XLF,-2,-1,1,-1,1,-2,0,34.92
2022-06-08 11:30:00-04:00,XLF,-2,1,1,-1,-1,-2,0,34.8
2022-06-08 12:30:00-04:00,XLF,-2,1,1,-1,1,0,0,34.61
2022-06-08 13:30:00-04:00,XLF,-2,-1,1,-1,1,-2,0,34.54
2022-06-08 14:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.68
2022-06-08 15:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.63
2022-06-09 09:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.39
2022-06-09 10:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.28
2022-06-09 11:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.31
2022-06-09 12:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.33
2022-06-09 13:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,34.3
2022-06-09 14:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,33.97
2022-06-09 15:30:00-04:00,XLF,-2,-1,-1,1,1,-2,-1,33.73
2022-06-10 09:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,32.64
2022-06-10 10:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,32.61
2022-06-10 11:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,32.63
2022-06-10 12:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,32.68
2022-06-10 13:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,32.69
2022-06-10 14:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,32.78
2022-06-10 15:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,32.51
2022-06-13 09:30:00-04:00,XLF,-2,1,0,1,1,1,1,31.66
2022-06-13 10:30:00-04:00,XLF,-2,1,1,1,1,2,0,31.69
2022-06-13 11:30:00-04:00,XLF,-2,1,1,1,1,2,0,31.9
2022-06-13 12:30:00-04:00,XLF,-2,1,1,1,1,2,0,31.76
2022-06-13 13:30:00-04:00,XLF,-2,1,-1,1,1,0,0,31.77
2022-06-13 14:30:00-04:00,XLF,-2,1,-1,1,1,0,0,31.56
2022-06-13 15:30:00-04:00,XLF,-2,-1,-1,1,1,-2,0,31.57
2022-06-14 09:30:00-04:00,XLF,-2,-1,1,1,1,0,0,31.58
2022-06-14 10:30:00-04:00,XLF,-2,-1,0,1,1,-1,0,31.52
2022-06-14 11:30:00-04:00,XLF,-2,-1,0,1,1,-1,0,31.4
2022-06-14 12:30:00-04:00,XLF,-2,-1,0,1,1,-1,0,31.44
2022-06-14 13:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.35
2022-06-14 14:30:00-04:00,XLF,-2,-1,0,0,1,-2,-1,31.18
2022-06-14 15:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.28
2022-06-15 09:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.81
2022-06-15 10:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.6
2022-06-15 11:30:00-04:00,XLF,2,-1,0,-1,1,1,1,31.68
2022-06-15 12:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.59
2022-06-15 13:30:00-04:00,XLF,-2,-1,0,-1,1,-3,-1,31.33
2022-06-15 14:30:00-04:00,XLF,2,-1,0,-1,1,1,1,31.97
2022-06-15 15:30:00-04:00,XLF,2,-1,-1,-1,1,0,0,31.65
2022-06-16 09:30:00-04:00,XLF,2,-1,-1,-1,1,0,0,30.84
2022-06-16 10:30:00-04:00,XLF,2,-1,-1,-1,1,0,0,30.81
2022-06-16 11:30:00-04:00,XLF,-2,1,1,1,-1,0,0,30.8
2022-06-16 12:30:00-04:00,XLF,2,1,1,1,1,6,1,30.97
2022-06-16 13:30:00-04:00,XLF,-2,-1,1,1,1,0,-1,30.73
2022-06-16 14:30:00-04:00,XLF,2,-1,1,1,-1,2,0,30.86
2022-06-16 15:30:00-04:00,XLF,2,-1,1,1,-1,2,0,30.86
2022-06-17 09:30:00-04:00,XLF,2,-1,1,1,-1,2,0,30.83
2022-06-17 10:30:00-04:00,XLF,2,-1,1,1,-1,2,0,30.96
2022-06-17 11:30:00-04:00,XLF,2,-1,1,1,-1,2,0,30.94
2022-06-17 12:30:00-04:00,XLF,2,-1,1,1,-1,2,0,31.0
2022-06-17 13:30:00-04:00,XLF,2,-1,1,1,-1,2,0,31.14
2022-06-17 14:30:00-04:00,XLF,2,-1,1,1,-1,2,0,31.16
2022-06-17 15:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,30.93
2022-06-21 09:30:00-04:00,XLF,2,-1,1,0,-1,1,1,31.39
2022-06-21 10:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,0,31.29
2022-06-21 11:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.32
2022-06-21 12:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.3
2022-06-21 13:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,-1,31.34
2022-06-21 14:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,-1,31.48
2022-06-21 15:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,-1,31.4
2022-06-22 09:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,-1,31.42
2022-06-22 10:30:00-04:00,XLF,2,-1,1,-1,-1,0,1,31.39
2022-06-22 11:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.33
2022-06-22 12:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.45
2022-06-22 13:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,-1,31.5
2022-06-22 14:30:00-04:00,XLF,2,-1,-1,1,-1,0,1,31.4
2022-06-22 15:30:00-04:00,XLF,2,-1,-1,1,1,2,0,31.3
2022-06-23 09:30:00-04:00,XLF,-2,-1,-1,-1,1,-4,-1,31.17
2022-06-23 10:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,31.1
2022-06-23 11:30:00-04:00,XLF,-2,-1,1,-1,1,-2,-1,30.83
2022-06-23 12:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,30.78
2022-06-23 13:30:00-04:00,XLF,2,-1,1,-1,0,1,1,30.86
2022-06-23 14:30:00-04:00,XLF,2,-1,1,1,0,3,0,31.06
2022-06-23 15:30:00-04:00,XLF,2,-1,-1,0,0,0,0,31.17
2022-06-24 09:30:00-04:00,XLF,2,-1,-1,0,0,0,0,32.01
2022-06-24 10:30:00-04:00,XLF,2,-1,-1,0,0,0,0,32.24
2022-06-24 11:30:00-04:00,XLF,2,-1,-1,0,0,0,0,32.18
2022-06-24 12:30:00-04:00,XLF,2,-1,-1,0,1,1,0,32.27
2022-06-24 13:30:00-04:00,XLF,2,-1,-1,1,1,2,0,32.24
2022-06-24 14:30:00-04:00,XLF,2,-1,-1,1,1,2,0,32.33
2022-06-24 15:30:00-04:00,XLF,2,-1,-1,1,1,2,0,32.35
2022-06-27 09:30:00-04:00,XLF,2,-1,-1,-1,1,0,0,32.1
2022-06-27 10:30:00-04:00,XLF,2,-1,-1,0,1,1,0,32.38
2022-06-27 11:30:00-04:00,XLF,2,-1,-1,0,1,1,0,32.28
2022-06-27 12:30:00-04:00,XLF,2,-1,1,-1,1,2,1,32.22
2022-06-27 13:30:00-04:00,XLF,2,-1,0,-1,1,1,-1,32.2
2022-06-27 14:30:00-04:00,XLF,2,-1,0,-1,1,1,0,32.24
2022-06-27 15:30:00-04:00,XLF,2,-1,0,1,1,3,1,32.22
2022-06-28 09:30:00-04:00,XLF,2,-1,0,0,1,2,1,32.59
2022-06-28 10:30:00-04:00,XLF,-2,-1,0,1,1,-1,-1,32.26
2022-06-28 11:30:00-04:00,XLF,-2,-1,0,1,1,-1,0,32.31
2022-06-28 12:30:00-04:00,XLF,-2,1,0,1,-1,-1,0,32.2
2022-06-28 13:30:00-04:00,XLF,-2,1,0,1,0,0,0,32.01
2022-06-28 14:30:00-04:00,XLF,-2,-1,-1,1,0,-3,0,32.0
2022-06-28 15:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,31.92
2022-06-29 09:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,31.87
2022-06-29 10:30:00-04:00,XLF,-2,-1,-1,1,-1,-4,-1,31.8
2022-06-29 11:30:00-04:00,XLF,-2,-1,-1,1,1,-2,-1,31.66
2022-06-29 12:30:00-04:00,XLF,-2,-1,-1,1,1,-2,1,31.68
2022-06-29 13:30:00-04:00,XLF,-2,-1,-1,1,1,-2,0,31.82
2022-06-29 14:30:00-04:00,XLF,-2,-1,-1,1,1,-2,0,31.83
2022-06-29 15:30:00-04:00,XLF,-2,-1,-1,1,1,-2,0,31.72
2022-06-30 09:30:00-04:00,XLF,-2,-1,1,-1,1,-2,0,31.1
2022-06-30 10:30:00-04:00,XLF,-2,-1,1,0,1,-1,0,31.41
2022-06-30 11:30:00-04:00,XLF,2,-1,1,-1,1,2,0,31.65
2022-06-30 12:30:00-04:00,XLF,2,-1,1,-1,1,2,1,31.5
2022-06-30 13:30:00-04:00,XLF,2,-1,1,-1,-1,0,-1,31.56
2022-06-30 14:30:00-04:00,XLF,2,-1,-1,-1,0,-1,0,31.45
2022-06-30 15:30:00-04:00,XLF,2,-1,0,-1,0,0,0,31.47
2022-07-01 09:30:00-04:00,XLF,-2,-1,1,1,-1,-2,0,31.26
2022-07-01 10:30:00-04:00,XLF,-2,-1,1,0,-1,-3,-1,31.44
2022-07-01 11:30:00-04:00,XLF,-2,-1,1,0,-1,-3,-1,31.57
2022-07-01 12:30:00-04:00,XLF,-2,-1,1,0,1,-1,1,31.56
2022-07-01 13:30:00-04:00,XLF,2,-1,1,0,-1,1,0,31.72
2022-07-01 14:30:00-04:00,XLF,2,-1,1,0,-1,1,0,31.86
2022-07-01 15:30:00-04:00,XLF,2,-1,1,0,-1,1,0,31.91
2022-07-05 09:30:00-04:00,XLF,-2,-1,1,0,-1,-3,0,31.15
2022-07-05 10:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,31.15
2022-07-05 11:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,31.31
2022-07-05 12:30:00-04:00,XLF,-2,-1,-1,-1,-1,-6,-1,31.34
2022-07-05 13:30:00-04:00,XLF,-2,-1,0,-1,-1,-5,-1,31.52
2022-07-05 14:30:00-04:00,XLF,2,-1,0,-1,-1,-1,1,31.66
2022-07-05 15:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.78
2022-07-06 09:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.67
2022-07-06 10:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.48
2022-07-06 11:30:00-04:00,XLF,-2,-1,0,-1,-1,-5,0,31.49
2022-07-06 12:30:00-04:00,XLF,-2,-1,1,-1,-1,-4,-1,31.5
2022-07-06 13:30:00-04:00,XLF,2,-1,1,-1,-1,0,1,31.68
2022-07-06 14:30:00-04:00,XLF,2,-1,-1,-1,-1,-2,0,31.86
2022-07-06 15:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,31.7
2022-07-07 09:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,32.03
2022-07-07 10:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,32.11
2022-07-07 11:30:00-04:00,XLF,2,-1,0,-1,-1,-1,0,32.06
2022-07-07 12:30:00-04:00,XLF,2,-1,0,-1,1,1,1,31.99
2022-07-07 13:30:00-04:00,XLF,2,-1,0,-1,1,1,1,32.12
2022-07-07 14:30:00-04:00,XLF,2,-1,-1,-1,1,0,1,32.15
2022-07-07 15:30:00-04:00,XLF,2,1,-1,-1,1,2,1,32.16
2022-07-08 09:30:00-04:00,XLF,2,1,-1,-1,1,2,1,32.2
2022-07-08 10:30:00-04:00,XLF,2,1,-1,-1,1,2,1,32.27
2022-07-08 11:30:00-04:00,XLF,2,1,-1,-1,1,2,1,32.08
2022-07-08 12:30:00-04:00,XLF,2,1,-1,1,1,4,1,32.1
2022-07-08 13:30:00-04:00,XLF,2,1,-1,0,1,3,1,32.2
2022-07-08 14:30:00-04:00,XLF,2,-1,-1,0,1,1,1,32.24
2022-07-08 15:30:00-04:00,XLF,2,-1,-1,1,1,2,1,32.09
2022-07-11 09:30:00-04:00,XLF,-2,1,-1,1,1,0,-1,31.89
2022-07-11 10:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.85
2022-07-11 11:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.81
2022-07-11 12:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.95
2022-07-11 13:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.86
2022-07-11 14:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.78
2022-07-11 15:30:00-04:00,XLF,-2,1,1,1,1,2,1,31.83
2022-07-12 09:30:00-04:00,XLF,-2,1,-1,1,-1,-2,-1,31.94
2022-07-12 10:30:00-04:00,XLF,2,1,-1,1,1,4,1,32.19
2022-07-12 11:30:00-04:00,XLF,2,1,-1,1,1,4,1,32.13
2022-07-12 12:30:00-04:00,XLF,2,1,-1,1,1,4,1,32.06
2022-07-12 13:30:00-04:00,XLF,2,1,-1,1,1,4,1,32.0
2022-07-12 14:30:00-04:00,XLF,-2,1,-1,1,1,0,-1,31.67
2022-07-12 15:30:00-04:00,XLF,-2,1,1,-1,-1,-2,0,31.64
